Character,Social action,Purpose,Social action type
Gheisar,Kills Karim (Avenging his brother’s murder),Living up to the values,Value-rational
Gheisar,Kills Rahim (Avenging his brother’s murder),Living up to the values,Value-rational
Gheisar,Going on pilgrimage with nana,Fulfilling his promise,Value-rational
Gheisar,Kills Mansour (punishing who ravished her sister),Living up to the values,Value-rational
Gheisar,Lying to Shahrzad,Achieving his goal,Instrumentally rational
Farman,Going to fight unarmed,Living up to the values,Value-rational
Farman,punishing who ravished her sister,Living up to the values,Value-rational
Gheisar's uncle,Dissuading Gheisar from murder,Living up to the values,Value-rational
Gheisar's uncle,Dissuading Gheisar from murder,Living up to the values,Value-rational
Fati,Committing suicide,Living up to the values,Value-rational
Gheisar's mother,Saving her family (Dissuading Farman from murder),Achieving her goal,Instrumentally rational
Gheisar's mother,Saving her family)Dissuading Gheisar from murder,Achieving her goal,Instrumentally rational
Mansoor Ab-mangol,Ravishes Fati,Satisfying her desire,Affectual
Shahrzad,Inviting Gheisar her home,Satisfying her desire,Affectual
Police,Arresting Gheisar,Fulfilling his duty,Instrumentally rational
Character,Social action,Purpose,Social action type
Seyed Rasool,provides a shelter for Ghodrat,Living up to his values,Value-rational
Seyed Rasool,overcome his addiction,Achieving his goal (To have a better life),Instrumentally rational
Seyed Rasool,gets into dispute with Fati's molester,Living up to his values,Value-rational
Seyed Rasool,gets into dispute with the landlord,Living up to his values,Value-rational
Seyed Rasool,kills the drug dealer,Living up to his values,Value-rational
Seyed Rasool,helps Ghodrat (hiding the stolen money),Living up to his values,Value-rational
Seyed Rasool,helps Ghodrat (staying with Ghodrat),Living up to his values,Value-rational
Ghodrat,helps Seyed to restore his confidence,Living up to his values,Value-rational
Ghodrat,doesn’t surrender,Living up to his values,Value-rational
Fati,staying with Seyed,Living up to her values,Value-rational
Fati,helps Ghodrat (hiding the stolen money),Living up to her values,Value-rational
Police,try to arrest Ghodrat,Fulfilling their duty,Instrumentally rational
Character,Social action,Purpose,Social action type
Abbas,"decieds to take over the building, persuaded Quolam (-refuses to maintain the property - gets into dispute with Qandy - connive with Quolam's guy to deceive legal agency)",Achieving his goal,Instrumentally rational
Abbas,pays the workers and invites them for a dinner,Living up to the values,Value-rational
Abbas,gets into fight with his brother,,Affectual
Abbas's mother,prevents Abbas from taking over the building ,Living up to the values,Value-rational
Abbas's mother,makes peace between Abbas and the tenants,Living up to the values,Value-rational
Qandy,decieds to take over the building persuaded by Baaqery; renews his apartment,Achieving his goal,Instrumentally rational
Qandy,makes peace with Abbas,Living up to the values,Value-rational
